CLIENT,CLIENT NAME,PRODUCT,RELEASE NAME,ISCI/AD-ID,DURATION,CNTRY,RANK,DMA,DMA CODE,STATION,STATION NAME,AFFILIATION,DATE AIRED,DAY OF WEEK,DAYPART,AIR START TIME,AIR END TIME,PROGRAM NAME,ENCODE DATE,ENCODE TIME,REL TYPE,IDENTIFIER 1,IDENTIFIER 3,SID,DISCID,AUD SOURCE,HH IMP,HH RATING,P2+ IMP,P2+ RATING,WORKING WOM IMP,WORKING WOM RATING,C 2-11 IMP,C 2-11 RATING,C 6-11 IMP,C 6-11 RATING,TEEN IMP,TEEN RATING,M TEEN IMP,M TEEN RATING,F TEEN IMP,F TEEN RATING,W 18+ IMP,W 18+ RATING,W 18-34 IMP,W 18-34 RATING,W 18-49 IMP,W 18-49 RATING,W 25-54 IMP,W 25-54 RATING,W 35+ IMP,W 35+ RATING,W 55+ IMP,W 55+ RATING,M 18+ IMP,M 18+ RATING,M 18-34 IMP,M 18-34 RATING,M 18-49 IMP,M 18-49 RATING,M 25-54 IMP,M 25-54 RATING,M 35+ IMP,M 35+ RATING,M 55+ IMP,M 55+ RATING,A 18+ IMP,A 18+ RATING,A 18-34 IMP,A 18-34 RATING,A 18-49 IMP,A 18-49 RATING,A 25-54 IMP,A 25-54 RATING,A 35+ IMP,A 35+ RATING,A 55+ IMP,A 55+ RATING,$$$
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4049MC3168H              ,15,USA,0,                         ,0,BOU     ,Bounce TV                ,CBL  ,6/25/18,MO,EF,16:30:22,16:30:38,MENACE II SOCIETY                  ,07.07.1978,01:35:32,CML  ,3415,                         ,1329,32852,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4049MC3168H              ,15,USA,0,                         ,0,BOU     ,Bounce TV                ,CBL  ,6/25/18,MO,EF,18:07:03,18:07:17,SOUL FOOD                          ,07.07.1978,01:35:33,CML  ,3415,                         ,1329,32852,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4049MC3168H              ,15,USA,0,                         ,0,BOU     ,Bounce TV                ,CBL  ,6/25/18,MO,EF,18:41:00,18:41:13,SOUL FOOD                          ,07.07.1978,01:35:32,CML  ,3415,                         ,1329,32852,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4049MC3168H              ,15,USA,0,                         ,0,BOU     ,Bounce TV                ,CBL  ,6/25/18,MO,EF,19:13:58,19:14:12,THE BERNIE MAC SHOW                ,07.07.1978,01:35:32,CML  ,3415,                         ,1329,32852,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4049MC3168H              ,15,USA,0,                         ,0,BOU     ,Bounce TV                ,CBL  ,6/25/18,MO,EF,19:56:39,19:56:53,THE BERNIE MAC SHOW                ,07.07.1978,01:35:32,CML  ,3516,                         ,1329,32852,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,17:18:17,17:18:30,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3417,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,17:51:42,17:51:56,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3451,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,18:23:13,18:23:29,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3452,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,18:36:17,18:36:33,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3453,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,19:30:13,19:30:29,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3454,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4143MC3168H              ,15,USA,0,                         ,0,COZ     ,COZI TV                  ,CBL  ,6/25/18,MO,EF,19:53:48,19:54:02,LITTLE HOUSE ON THE PRAIRIE        ,07.07.1978,03:29:02,CML  ,3455,                         ,1329,39576,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4051MC3168               ,15,USA,0,                         ,0,ESC     ,ESCAPE                   ,CBL  ,6/25/18,MO,EF,19:07:35,19:07:50,FORENSIC FILES                     ,07.07.1978,01:34:03,CML  ,3456,                         ,1329,42061,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4051MC3168               ,15,USA,0,                         ,0,ESC     ,ESCAPE                   ,CBL  ,6/25/18,MO,EF,19:35:06,19:35:20,FORENSIC FILES                     ,07.07.1978,01:34:03,CML  ,3457,                         ,1329,42061,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4051MC3168               ,15,USA,0,                         ,0,ESC     ,ESCAPE                   ,CBL  ,6/25/18,MO,EF,19:53:00,19:53:15,FORENSIC FILES                     ,07.07.1978,01:34:02,CML  ,3458,                         ,1329,42061,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
C786,CADENT                   ,Pizza Hut                ,799 Large 2 Top Always             ,4051MC3168               ,15,USA,0,                         ,0,LAF     ,LAFF                     ,CBL  ,6/25/18,MO,EF,16:05:05,16:05:19,NIGHT COURT                        ,07.07.1978,01:34:02,CML  ,3459,                         ,1329,42063,               ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,        ,     ,
